start_station_name,trip_date,daily_trips,ranking,running_total
South Congress & Barton Springs at the Austin American-Statesman,2016-10-02,60,3,208
South Congress & Elizabeth,2015-03-14,60,1,60
South Congress & Elizabeth,2014-03-15,53,2,113
South Congress & Elizabeth,2015-03-15,51,3,164
South Congress & James,2014-03-14,81,1,81
South Congress & James,2014-03-15,70,2,151
South Congress & James,2014-03-13,63,3,214
South Congress & Mary,2023-04-29,19,1,19
South Congress & Mary,2024-04-13,17,2,36
South Congress & Mary,2024-03-13,17,2,53
South Congress & Mary,2023-09-22,16,3,69
South Congress & Mary,2024-03-31,16,3,85
South Congress & Mary,2023-10-14,16,3,101
South Congress @ Bouldin Creek,2021-03-27,21,1,21
South Congress @ Bouldin Creek,2023-10-07,21,1,42
South Congress @ Bouldin Creek,2022-09-10,20,2,62
South Congress @ Bouldin Creek,2022-08-28,20,2,82
South Congress @ Bouldin Creek,2021-04-24,20,2,102
South Congress @ Bouldin Creek,2024-04-13,19,3,121
South Congress @ Bouldin Creek,2024-04-11,19,3,140
Springfest 2022,2022-03-13,17,1,17
Springfest 2022,2022-03-14,11,2,28
Springfest 2022,2022-03-15,2,3,30
Springfest 2022,2022-03-12,2,3,32
State Capitol @ 14th & Colorado,2015-03-15,27,1,27
State Capitol @ 14th & Colorado,2014-03-11,25,2,52
State Capitol @ 14th & Colorado,2014-03-14,24,3,76
State Capitol @ 14th & Colorado,2014-11-29,24,3,100
State Capitol Visitors Garage @ San Jacinto & 12th,2016-09-04,29,1,29
State Capitol Visitors Garage @ San Jacinto & 12th,2018-03-17,24,2,53
State Capitol Visitors Garage @ San Jacinto & 12th,2018-03-10,23,3,76
Sterzing & Barton Springs,2021-10-09,103,1,103
Sterzing & Barton Springs,2021-10-08,89,2,192
Sterzing & Barton Springs,2022-10-08,84,3,276
Sterzing at Barton Springs,2018-10-12,108,1,108
Sterzing at Barton Springs,2018-10-13,92,2,200
Sterzing at Barton Springs,2018-10-06,78,3,278
Stolen,2017-03-18,1,1,1
Toomey Rd @ South Lamar,2015-03-14,50,1,50
Toomey Rd @ South Lamar,2014-10-12,41,2,91
Toomey Rd @ South Lamar,2014-10-04,38,3,129
Trinity & 6th Street,2016-03-17,73,1,73
Trinity & 6th Street,2018-03-14,59,2,132
Trinity & 6th Street,2016-03-16,55,3,187
UT West Mall @ Guadalupe,2018-08-30,140,1,140
UT West Mall @ Guadalupe,2018-03-07,128,2,268
UT West Mall @ Guadalupe,2018-03-05,121,3,389
Veterans & Atlanta @ MoPac Ped Bridge,2021-05-15,44,1,44
Veterans & Atlanta @ MoPac Ped Bridge,2020-09-06,42,2,86
Veterans & Atlanta @ MoPac Ped Bridge,2022-03-05,42,2,128
Veterans & Atlanta @ MoPac Ped Bridge,2021-05-29,41,3,169
Waller & 6th St.,2014-03-15,78,1,78
Waller & 6th St.,2014-03-14,71,2,149
Waller & 6th St.,2015-03-19,63,3,212
Waller & 6th St.,2015-03-15,63,3,275
West & 6th St.,2016-03-18,54,1,54
West & 6th St.,2016-03-17,43,2,97
West & 6th St.,2018-03-10,39,3,136
Zilker Park,2014-10-11,241,1,241
Zilker Park,2014-10-12,227,2,468
Zilker Park,2014-10-10,226,3,694
Zilker Park,2014-10-04,226,3,920
Zilker Park West,2015-10-03,165,1,165
Zilker Park West,2015-10-04,144,2,309
Zilker Park West,2015-10-02,140,3,449
cesar Chavez & Congress,2019-12-14,1,1,1
